model,system,batch,lin,lout,prefill_latency(ms),decode_latency(ms),e2e_latency(ms),comp_pct,comm_pct,queue_pct,decode_throughput(tok/s),total_energy(J)
LLAMA2-7B,H100,4,32,128,34.739,998.55,1094.3,0.0,0.0,0.0,512.7434780431626,612.808
LLAMA2-7B,H100,4,32,256,42.928,1958.8,2049.4,0.0,0.0,0.0,522.7690422707781,1147.664
LLAMA2-7B,H100,4,32,512,41.184,3941.3,3994.4,0.0,0.0,0.0,519.6255042752391,2236.864
LLAMA2-7B,H100,4,32,1024,42.345,8213.4,8290.6,0.0,0.0,0.0,498.697250834003,4642.736
LLAMA2-7B,H100,4,32,2048,42.515,16868.0,16928.0,0.0,0.0,0.0,485.6533080388902,9479.68
LLAMA2-7B,H100,4,32,3584,40.466,31540.0,31626.0,0.0,0.0,0.0,454.53392517438175,17710.56
LLAMA2-7B,H100,4,32,4064,42.303,35989.0,36063.0,0.0,0.0,0.0,451.6935730362055,20195.28
LLAMA2-7B,H100,4,64,32,40.903,242.49,287.88,0.0,0.0,0.0,527.8568188378902,161.2128
LLAMA2-7B,H100,4,64,64,41.108,483.82,540.79,0.0,0.0,0.0,529.122400892894,302.84239999999994
LLAMA2-7B,H100,4,64,128,33.65,1000.2,1130.8,0.0,0.0,0.0,511.8976204759048,633.248
LLAMA2-7B,H100,4,64,256,40.724,1988.6,2035.0,0.0,0.0,0.0,514.9351302423815,1139.6
LLAMA2-7B,H100,4,64,512,41.33,3951.8,4022.7,0.0,0.0,0.0,518.2448504478972,2252.712
LLAMA2-7B,H100,4,64,1024,40.891,8195.7,8248.1,0.0,0.0,0.0,499.7742718742755,4618.936
LLAMA2-7B,H100,4,64,2048,42.057,16797.0,16918.0,0.0,0.0,0.0,487.7061380008335,9474.08
LLAMA2-7B,H100,4,64,3584,41.025,29243.0,29313.0,0.0,0.0,0.0,490.2369797900352,16415.28
LLAMA2-7B,H100,4,128,32,43.163,254.18,355.74,0.0,0.0,0.0,503.5801400582265,199.2144
LLAMA2-7B,H100,4,128,64,41.149,481.88,538.48,0.0,0.0,0.0,531.2525940068067,301.5488
LLAMA2-7B,H100,4,128,128,33.469,992.64,1030.8,0.0,0.0,0.0,515.7962604771116,577.248
LLAMA2-7B,H100,4,128,256,41.265,1960.9,2008.1,0.0,0.0,0.0,522.2091896578102,1124.536
LLAMA2-7B,H100,4,128,512,41.901,3960.3,4010.1,0.0,0.0,0.0,517.1325404641062,2245.656
LLAMA2-7B,H100,4,128,1024,42.736,8103.1,8246.7,0.0,0.0,0.0,505.4855549110834,4618.152
LLAMA2-7B,H100,4,128,2048,43.071,16961.0,17098.0,0.0,0.0,0.0,482.9903897175874,9574.88
LLAMA2-7B,H100,4,128,3584,43.008,31893.0,31965.0,0.0,0.0,0.0,449.5030257423259,17900.4
LLAMA2-7B,H100,4,256,32,54.744,240.31,325.94,0.0,0.0,0.0,532.6453331113978,182.5264
LLAMA2-7B,H100,4,256,64,34.472,520.74,646.39,0.0,0.0,0.0,491.6080961708338,361.9784
LLAMA2-7B,H100,4,256,128,54.464,1007.1,1066.2,0.0,0.0,0.0,508.3904279614735,597.072
LLAMA2-7B,H100,4,256,256,42.139,2069.5,2149.4,0.0,0.0,0.0,494.80550857695096,1203.664
LLAMA2-7B,H100,4,256,512,34.727,4031.6,4152.3,0.0,0.0,0.0,507.9869034626451,2325.288
LLAMA2-7B,H100,4,256,1024,54.464,8360.3,8436.4,0.0,0.0,0.0,489.9345717258951,4724.384
LLAMA2-7B,H100,4,256,2048,54.856,17108.0,17181.0,0.0,0.0,0.0,478.8403086275427,9621.36
LLAMA2-7B,H100,4,256,3584,42.096,31610.0,31704.0,0.0,0.0,0.0,453.527364757988,17754.24
LLAMA2-7B,H100,4,512,32,82.452,247.43,334.49,0.0,0.0,0.0,517.3180293416319,187.3144
LLAMA2-7B,H100,4,512,64,69.292,529.55,603.2,0.0,0.0,0.0,483.4293267868946,337.792
LLAMA2-7B,H100,4,512,128,32.81,1064.8,1187.4,0.0,0.0,0.0,480.84147257700977,664.944
LLAMA2-7B,H100,4,512,256,69.238,2048.8,2123.8,0.0,0.0,0.0,499.8047637641546,1189.328
LLAMA2-7B,H100,4,512,512,69.804,4113.9,4191.1,0.0,0.0,0.0,497.8244488198547,2347.016
LLAMA2-7B,H100,4,512,1024,69.084,8435.2,8515.4,0.0,0.0,0.0,485.5842185128983,4768.624
LLAMA2-7B,H100,4,512,2048,54.709,17489.0,17587.0,0.0,0.0,0.0,468.4087140488307,9848.72
LLAMA2-7B,H100,4,512,3584,54.392,32139.0,32245.0,0.0,0.0,0.0,446.0624163788544,18057.2
LLAMA2-7B,H100,4,1024,32,46.485,372.66,509.39,0.0,0.0,0.0,343.4766274888638,285.25839999999994
LLAMA2-7B,H100,4,1024,64,83.492,599.03,754.06,0.0,0.0,0.0,427.35756139091535,422.2736
LLAMA2-7B,H100,4,1024,128,83.239,1122.0,1250.9,0.0,0.0,0.0,456.3279857397504,700.504
LLAMA2-7B,H100,4,1024,256,83.009,2176.7,2313.6,0.0,0.0,0.0,470.4368998943355,1295.616
LLAMA2-7B,H100,4,1024,512,45.371,4370.2,4423.3,0.0,0.0,0.0,468.6284380577548,2477.048
LLAMA2-7B,H100,4,1024,1024,83.038,8787.8,8882.1,0.0,0.0,0.0,466.100730558274,4973.976
LLAMA2-7B,H100,4,1024,2048,83.186,18337.0,18450.0,0.0,0.0,0.0,446.74701423351695,10332.0
LLAMA2-7B,H100,4,2048,32,75.255,498.05,659.36,0.0,0.0,0.0,257.00230900512,369.24160000000006
LLAMA2-7B,H100,4,2048,64,152.17,713.19,874.05,0.0,0.0,0.0,358.9506302668293,489.468
LLAMA2-7B,H100,4,2048,128,219.55,1202.9,1427.6,0.0,0.0,0.0,425.6380413999501,799.456
LLAMA2-7B,H100,4,2048,256,151.46,2438.7,2605.1,0.0,0.0,0.0,419.89584614753767,1458.856
LLAMA2-7B,H100,4,2048,512,153.56,4772.2,4991.3,0.0,0.0,0.0,429.15217300196974,2795.128
LLAMA2-7B,H100,4,2048,1024,76.562,9528.8,9692.5,0.0,0.0,0.0,429.8547561077996,5427.8
LLAMA2-7B,H100,4,2048,2048,292.92,20125.0,20532.0,0.0,0.0,0.0,407.055900621118,11497.92
LLAMA2-7B,H100,4,3584,32,260.04,562.58,872.85,0.0,0.0,0.0,227.52319670091364,488.796
LLAMA2-7B,H100,4,3584,64,262.84,909.96,1177.6,0.0,0.0,0.0,281.33104751857223,659.456
LLAMA2-7B,H100,4,3584,128,259.73,1562.0,1863.2,0.0,0.0,0.0,327.78489116517284,1043.392
LLAMA2-7B,H100,4,3584,256,258.18,2897.7,3162.0,0.0,0.0,0.0,353.3837181212686,1770.72
LLAMA2-7B,H100,4,3584,512,258.13,5629.5,5895.7,0.0,0.0,0.0,363.7978506084021,3301.592
LLAMA2-7B,H100,4,4064,32,300.98,633.12,951.23,0.0,0.0,0.0,202.1733636593379,532.6888
LLAMA2-7B,H100,8,32,32,43.959,262.4,310.87,0.0,0.0,0.0,975.6097560975612,174.08720000000002
LLAMA2-7B,H100,8,32,64,42.476,511.75,613.98,0.0,0.0,0.0,1000.4885197850512,343.8288
LLAMA2-7B,H100,8,32,128,34.72,1031.0,1128.3,0.0,0.0,0.0,993.2104752667314,631.848
LLAMA2-7B,H100,8,32,256,42.41,2057.7,2106.1,0.0,0.0,0.0,995.2859989308452,1179.416
LLAMA2-7B,H100,8,32,512,43.756,4219.3,4271.9,0.0,0.0,0.0,970.777143128007,2392.264
LLAMA2-7B,H100,8,32,1024,42.457,8816.0,8870.2,0.0,0.0,0.0,929.2196007259528,4967.312
LLAMA2-7B,H100,8,32,2048,42.034,18831.0,18892.0,0.0,0.0,0.0,870.0546970421115,10579.52
LLAMA2-7B,H100,8,32,3584,43.352,37545.0,37662.0,0.0,0.0,0.0,763.6702623518445,21090.72
LLAMA2-7B,H100,8,32,4064,35.322,44413.0,44546.0,0.0,0.0,0.0,732.0379168261545,24945.76
LLAMA2-7B,H100,8,64,32,45.967,270.92,379.11,0.0,0.0,0.0,944.9283921452828,212.3016
LLAMA2-7B,H100,8,64,64,35.165,526.8,646.12,0.0,0.0,0.0,971.9058466211088,361.8272
LLAMA2-7B,H100,8,64,128,44.509,1044.7,1130.8,0.0,0.0,0.0,980.185699243802,633.248
LLAMA2-7B,H100,8,64,256,34.654,2094.1,2134.4,0.0,0.0,0.0,977.9857695430018,1195.264
LLAMA2-7B,H100,8,64,512,35.175,4217.3,4350.4,0.0,0.0,0.0,971.2375216370664,2436.224
LLAMA2-7B,H100,8,64,1024,35.393,8706.6,8808.3,0.0,0.0,0.0,940.8954126754415,4932.648
LLAMA2-7B,H100,8,64,2048,44.441,18942.0,19022.0,0.0,0.0,0.0,864.9561820293528,10652.32
LLAMA2-7B,H100,8,64,3584,43.066,31937.0,32010.0,0.0,0.0,0.0,897.76747972571,17925.6
LLAMA2-7B,H100,8,128,32,43.49,277.09,325.13,0.0,0.0,0.0,923.8875455628136,182.0728
LLAMA2-7B,H100,8,128,64,35.367,551.54,672.06,0.0,0.0,0.0,928.309823403561,376.3536
LLAMA2-7B,H100,8,128,128,45.241,1061.5,1171.2,0.0,0.0,0.0,964.6726330664154,655.872
LLAMA2-7B,H100,8,128,256,44.716,2108.1,2158.7,0.0,0.0,0.0,971.4909159907024,1208.872
LLAMA2-7B,H100,8,128,512,44.826,4293.7,4393.9,0.0,0.0,0.0,953.9557957006778,2460.584
LLAMA2-7B,H100,8,128,1024,44.906,8908.8,8991.9,0.0,0.0,0.0,919.5402298850576,5035.464
LLAMA2-7B,H100,8,128,2048,43.375,19520.0,19583.0,0.0,0.0,0.0,839.344262295082,10966.48
LLAMA2-7B,H100,8,128,3584,44.696,36181.0,36255.0,0.0,0.0,0.0,792.4601310079876,20302.8
LLAMA2-7B,H100,8,256,32,55.835,300.42,360.89,0.0,0.0,0.0,852.1403368617268,202.0984
LLAMA2-7B,H100,8,256,64,60.975,564.49,660.43,0.0,0.0,0.0,907.0134103349926,369.8408
LLAMA2-7B,H100,8,256,128,55.651,1096.2,1157.2,0.0,0.0,0.0,934.1361065498996,648.032
LLAMA2-7B,H100,8,256,256,60.935,2175.0,2272.0,0.0,0.0,0.0,941.6091954022988,1272.32
LLAMA2-7B,H100,8,256,512,43.485,4413.0,4470.5,0.0,0.0,0.0,928.1667799682756,2503.48
LLAMA2-7B,H100,8,256,1024,56.119,9108.5,9189.8,0.0,0.0,0.0,899.3797002799582,5146.288
LLAMA2-7B,H100,8,256,2048,56.493,19980.0,20056.0,0.0,0.0,0.0,820.0200200200201,11231.36
LLAMA2-7B,H100,8,256,3584,56.396,39866.0,39978.0,0.0,0.0,0.0,719.2093513269452,22387.68
LLAMA2-7B,H100,8,512,32,82.595,346.4,528.19,0.0,0.0,0.0,739.0300230946883,295.7864
LLAMA2-7B,H100,8,512,64,56.971,652.09,805.65,0.0,0.0,0.0,785.1676915763161,451.164
LLAMA2-7B,H100,8,512,128,56.884,1202.2,1284.4,0.0,0.0,0.0,851.771751788388,719.264
LLAMA2-7B,H100,8,512,256,34.91,2330.7,2455.4,0.0,0.0,0.0,878.7059681640709,1375.024
LLAMA2-7B,H100,8,512,512,82.811,4546.3,4658.5,0.0,0.0,0.0,900.95242284935,2608.76
LLAMA2-7B,H100,8,512,1024,70.651,9348.8,9431.2,0.0,0.0,0.0,876.2621940783845,5281.472
LLAMA2-7B,H100,8,512,2048,34.546,20249.0,20376.0,0.0,0.0,0.0,809.1263766111907,11410.56
LLAMA2-7B,H100,8,512,3584,83.172,40985.0,41137.0,0.0,0.0,0.0,699.5730145175064,23036.72
LLAMA2-7B,H100,8,1024,32,79.791,489.85,660.5,0.0,0.0,0.0,522.6089619271205,369.88
LLAMA2-7B,H100,8,1024,64,114.25,751.62,957.56,0.0,0.0,0.0,681.1952848513877,536.2336
LLAMA2-7B,H100,8,1024,128,80.12,1375.7,1525.0,0.0,0.0,0.0,744.3483317583775,854.0
LLAMA2-7B,H100,8,1024,256,79.602,2567.4,2653.2,0.0,0.0,0.0,797.6941653034198,1485.792
LLAMA2-7B,H100,8,1024,512,111.9,5028.6,5148.4,0.0,0.0,0.0,814.5408264725768,2883.104
LLAMA2-7B,H100,8,1024,1024,79.924,9919.4,10056.0,0.0,0.0,0.0,825.8564026049963,5631.36
LLAMA2-7B,H100,8,1024,2048,111.42,22375.0,22506.0,0.0,0.0,0.0,732.245810055866,12603.36
LLAMA2-7B,H100,8,2048,32,145.69,729.16,879.4,0.0,0.0,0.0,351.0889242415931,492.464
LLAMA2-7B,H100,8,2048,64,145.26,1082.2,1324.3,0.0,0.0,0.0,473.1103308076141,741.608
LLAMA2-7B,H100,8,2048,128,145.43,1765.1,1948.7,0.0,0.0,0.0,580.1371027137272,1091.272
LLAMA2-7B,H100,8,2048,256,145.41,3185.6,3337.3,0.0,0.0,0.0,642.8930185836264,1868.888
LLAMA2-7B,H100,8,2048,512,143.5,6095.0,6250.1,0.0,0.0,0.0,672.0262510254307,3500.056
LLAMA2-7B,H100,8,2048,1024,144.68,12310.0,12467.0,0.0,0.0,0.0,665.4752233956133,6981.52
LLAMA2-7B,H100,8,2048,2048,146.32,26246.0,26498.0,0.0,0.0,0.0,624.24750438162,14838.88
LLAMA2-7B,H100,8,3584,32,249.88,1256.6,1512.9,0.0,0.0,0.0,203.72433550851505,847.224
LLAMA2-7B,H100,8,3584,64,250.19,1595.6,1850.7,0.0,0.0,0.0,320.88242667335174,1036.392
LLAMA2-7B,H100,8,3584,128,251.18,2466.6,2723.2,0.0,0.0,0.0,415.1463553069002,1524.992
LLAMA2-7B,H100,8,3584,256,249.03,4232.3,4567.3,0.0,0.0,0.0,483.897644306878,2557.688
LLAMA2-7B,H100,8,3584,512,251.0,7865.4,8171.9,0.0,0.0,0.0,520.7618175807969,4576.264
LLAMA2-7B,H100,8,4064,32,417.75,1176.0,1598.8,0.0,0.0,0.0,217.687074829932,895.328
LLAMA2-7B,H100,16,32,32,41.721,296.79,343.29,0.0,0.0,0.0,1725.1255096195962,192.24240000000003
LLAMA2-7B,H100,16,32,64,41.629,582.64,652.38,0.0,0.0,0.0,1757.5175065220376,365.3328
LLAMA2-7B,H100,16,32,128,43.585,1165.3,1214.3,0.0,0.0,0.0,1757.4873423152835,680.008
LLAMA2-7B,H100,16,32,256,44.224,2349.5,2436.8,0.0,0.0,0.0,1743.34964886146,1364.608
LLAMA2-7B,H100,16,32,512,42.94,4819.7,4914.9,0.0,0.0,0.0,1699.6908521277255,2752.344
LLAMA2-7B,H100,16,32,1024,42.195,10464.0,10519.0,0.0,0.0,0.0,1565.749235474006,5890.64
LLAMA2-7B,H100,16,32,2048,44.018,22269.0,22370.0,0.0,0.0,0.0,1471.46257128744,12527.2
LLAMA2-7B,H100,16,32,3584,44.317,52641.0,52727.0,0.0,0.0,0.0,1089.341007959575,29527.12
LLAMA2-7B,H100,16,32,4064,44.205,57485.0,57599.0,0.0,0.0,0.0,1131.1472558058624,32255.44
LLAMA2-7B,H100,16,64,32,42.762,308.93,356.66,0.0,0.0,0.0,1657.333376493057,199.7296
LLAMA2-7B,H100,16,64,64,35.037,602.58,717.98,0.0,0.0,0.0,1699.359421155697,402.0688
LLAMA2-7B,H100,16,64,128,43.962,1184.7,1289.1,0.0,0.0,0.0,1728.707689710475,721.896
LLAMA2-7B,H100,16,64,256,44.348,2381.4,2432.2,0.0,0.0,0.0,1719.9966406315611,1362.032
LLAMA2-7B,H100,16,64,512,42.98,4856.9,4908.5,0.0,0.0,0.0,1686.672568922564,2748.76
LLAMA2-7B,H100,16,64,1024,43.287,9814.2,9907.0,0.0,0.0,0.0,1669.4177823969349,5547.92
LLAMA2-7B,H100,16,64,2048,43.974,24026.0,24148.0,0.0,0.0,0.0,1363.8558228585698,13522.88
LLAMA2-7B,H100,16,64,3584,44.026,51705.0,51789.0,0.0,0.0,0.0,1109.0610192437869,29001.84
LLAMA2-7B,H100,16,128,32,43.334,344.03,392.26,0.0,0.0,0.0,1488.2423044501934,219.6656
LLAMA2-7B,H100,16,128,64,43.341,637.18,685.72,0.0,0.0,0.0,1607.0812015443048,384.0032
LLAMA2-7B,H100,16,128,128,54.473,1231.7,1349.7,0.0,0.0,0.0,1662.7425509458471,755.832
LLAMA2-7B,H100,16,128,256,44.05,2430.3,2567.4,0.0,0.0,0.0,1685.388635147924,1437.744
LLAMA2-7B,H100,16,128,512,44.61,4987.4,5040.3,0.0,0.0,0.0,1642.539198780928,2822.568
LLAMA2-7B,H100,16,128,1024,43.572,10593.0,10649.0,0.0,0.0,0.0,1546.6817709808363,5963.44
LLAMA2-7B,H100,16,128,2048,43.219,24274.0,24337.0,0.0,0.0,0.0,1349.9217269506469,13628.72
LLAMA2-7B,H100,16,128,3584,44.963,53967.0,54045.0,0.0,0.0,0.0,1062.5752774843886,30265.2
LLAMA2-7B,H100,16,256,32,42.683,414.47,461.96,0.0,0.0,0.0,1235.312567857746,258.6976
LLAMA2-7B,H100,16,256,64,55.272,711.51,771.98,0.0,0.0,0.0,1439.192702843249,432.3088
LLAMA2-7B,H100,16,256,128,56.409,1325.4,1428.9,0.0,0.0,0.0,1545.1939037271766,800.184
LLAMA2-7B,H100,16,256,256,43.645,2567.2,2706.0,0.0,0.0,0.0,1595.512620754129,1515.36
LLAMA2-7B,H100,16,256,512,44.776,5159.2,5263.3,0.0,0.0,0.0,1587.8430764459606,2947.448
LLAMA2-7B,H100,16,256,1024,34.933,10992.0,11130.0,0.0,0.0,0.0,1490.5385735080058,6232.8
LLAMA2-7B,H100,16,256,2048,59.072,25915.0,26084.0,0.0,0.0,0.0,1264.4414431796256,14607.04
LLAMA2-7B,H100,16,256,3584,56.364,49597.0,49686.0,0.0,0.0,0.0,1156.1989636469948,27824.16
LLAMA2-7B,H100,16,512,32,55.673,554.06,614.69,0.0,0.0,0.0,924.0876439374798,344.2264
LLAMA2-7B,H100,16,512,64,55.703,875.56,950.13,0.0,0.0,0.0,1169.537210471013,532.0728
LLAMA2-7B,H100,16,512,128,68.365,1500.1,1574.3,0.0,0.0,0.0,1365.2423171788548,881.608
LLAMA2-7B,H100,16,512,256,35.176,2896.4,3017.8,0.0,0.0,0.0,1414.169313630714,1689.968
LLAMA2-7B,H100,16,512,512,55.697,5699.0,5782.1,0.0,0.0,0.0,1437.4451658185646,3237.976
LLAMA2-7B,H100,16,512,1024,68.446,12123.0,12204.0,0.0,0.0,0.0,1351.4806566031511,6834.24
LLAMA2-7B,H100,16,512,2048,56.389,27962.0,28086.0,0.0,0.0,0.0,1171.8761175881557,15728.16
LLAMA2-7B,H100,16,512,3584,56.601,52029.0,52207.0,0.0,0.0,0.0,1102.1545676449673,29235.92
LLAMA2-7B,H100,16,1024,32,113.04,788.8,907.08,0.0,0.0,0.0,649.0872210953347,507.9648
LLAMA2-7B,H100,16,1024,64,47.623,1238.0,1338.2,0.0,0.0,0.0,827.140549273021,749.392
LLAMA2-7B,H100,16,1024,128,48.189,2000.5,2138.4,0.0,0.0,0.0,1023.744063984004,1197.504
LLAMA2-7B,H100,16,1024,256,82.23,3548.1,3637.4,0.0,0.0,0.0,1154.4206758546827,2036.944
LLAMA2-7B,H100,16,1024,512,81.549,6759.9,6850.3,0.0,0.0,0.0,1211.852246335005,3836.168
LLAMA2-7B,H100,16,1024,1024,81.837,14198.0,14293.0,0.0,0.0,0.0,1153.9653472320044,8004.08
LLAMA2-7B,H100,16,1024,2048,81.831,30905.0,31008.0,0.0,0.0,0.0,1060.2815078466267,17364.48
LLAMA2-7B,H100,16,2048,32,148.36,1441.2,1601.8,0.0,0.0,0.0,355.2595059672495,897.008
LLAMA2-7B,H100,16,2048,64,148.23,1959.3,2126.8,0.0,0.0,0.0,522.6356351758282,1191.008
LLAMA2-7B,H100,16,2048,128,148.14,2970.5,3124.4,0.0,0.0,0.0,689.4462211748864,1749.664
LLAMA2-7B,H100,16,2048,256,149.55,5070.3,5267.8,0.0,0.0,0.0,807.8417450643946,2949.968
LLAMA2-7B,H100,16,2048,512,148.63,9457.1,9626.4,0.0,0.0,0.0,866.2274904569053,5390.784
LLAMA2-7B,H100,16,2048,1024,283.86,18628.0,18942.0,0.0,0.0,0.0,879.5361820914752,10607.52
LLAMA2-7B,H100,16,2048,2048,147.88,41334.0,41504.0,0.0,0.0,0.0,792.7614070740794,23242.24
LLAMA2-7B,H100,16,3584,32,253.26,2453.4,2738.8,0.0,0.0,0.0,208.68998125050948,1533.728
LLAMA2-7B,H100,16,3584,64,253.72,3148.7,3408.7,0.0,0.0,0.0,325.2135802077048,1908.872
LLAMA2-7B,H100,16,3584,128,255.55,4545.7,4856.3,0.0,0.0,0.0,450.5356710737621,2719.528
LLAMA2-7B,H100,16,3584,256,253.74,7430.2,7743.1,0.0,0.0,0.0,551.2637614061533,4336.136
LLAMA2-7B,H100,16,3584,512,252.29,13355.0,13616.0,0.0,0.0,0.0,613.4032197678772,7624.96
LLAMA2-7B,H100,16,4064,32,420.56,2601.7,3094.0,0.0,0.0,0.0,196.794403659146,1732.64
LLAMA2-7B,H100,32,32,32,44.472,358.71,408.95,0.0,0.0,0.0,2854.6736918402053,229.012
LLAMA2-7B,H100,32,32,64,43.3,682.13,731.48,0.0,0.0,0.0,3002.360253910545,409.6288
LLAMA2-7B,H100,32,32,128,36.887,1347.9,1464.3,0.0,0.0,0.0,3038.8010980043027,820.008
LLAMA2-7B,H100,32,32,256,43.384,2738.5,2789.4,0.0,0.0,0.0,2991.418659850283,1562.064
LLAMA2-7B,H100,32,32,512,35.948,5548.8,5669.8,0.0,0.0,0.0,2952.710495963091,3175.088
LLAMA2-7B,H100,32,32,1024,42.913,12392.0,12469.0,0.0,0.0,0.0,2644.286636539703,6982.64
LLAMA2-7B,H100,32,32,2048,43.661,28667.0,28741.0,0.0,0.0,0.0,2286.112952174975,16094.96
LLAMA2-7B,H100,32,32,3584,43.405,66388.0,66468.0,0.0,0.0,0.0,1727.541121889498,37222.08
LLAMA2-7B,H100,32,32,4064,43.746,95666.0,95754.0,0.0,0.0,0.0,1359.3962327263605,53622.24
LLAMA2-7B,H100,32,64,32,43.965,384.83,464.28,0.0,0.0,0.0,2660.9152093132034,259.9968
LLAMA2-7B,H100,32,64,64,43.616,711.96,761.64,0.0,0.0,0.0,2876.566099219057,426.5184
LLAMA2-7B,H100,32,64,128,44.298,1391.8,1442.7,0.0,0.0,0.0,2942.95157350194,807.912
LLAMA2-7B,H100,32,64,256,35.517,2762.7,2890.6,0.0,0.0,0.0,2965.215188040685,1618.736
LLAMA2-7B,H100,32,64,512,44.557,5901.5,5956.9,0.0,0.0,0.0,2776.243327967466,3335.864
LLAMA2-7B,H100,32,64,1024,44.561,13216.0,13305.0,0.0,0.0,0.0,2479.418886198547,7450.8
LLAMA2-7B,H100,32,64,2048,45.055,31290.0,31408.0,0.0,0.0,0.0,2094.4710770214124,17588.48
LLAMA2-7B,H100,32,64,3584,35.224,66472.0,66604.0,0.0,0.0,0.0,1725.358045492839,37298.24
LLAMA2-7B,H100,32,128,32,44.919,455.13,505.94,0.0,0.0,0.0,2249.9066200865686,283.32640000000004
LLAMA2-7B,H100,32,128,64,45.289,805.62,902.89,0.0,0.0,0.0,2542.141456269705,505.6184
LLAMA2-7B,H100,32,128,128,44.674,1488.6,1544.9,0.0,0.0,0.0,2751.578664516996,865.144
LLAMA2-7B,H100,32,128,256,46.3,2909.9,2963.8,0.0,0.0,0.0,2815.2170177669336,1659.728
LLAMA2-7B,H100,32,128,512,45.744,6093.7,6149.3,0.0,0.0,0.0,2688.678471207969,3443.608
LLAMA2-7B,H100,32,128,1024,44.75,13657.0,13776.0,0.0,0.0,0.0,2399.3556417954164,7714.56
LLAMA2-7B,H100,32,128,2048,36.729,35227.0,35366.0,0.0,0.0,0.0,1860.3911772220167,19804.96
LLAMA2-7B,H100,32,128,3584,45.262,81446.0,81581.0,0.0,0.0,0.0,1408.1477297841514,45685.36
LLAMA2-7B,H100,32,256,32,57.227,589.48,652.86,0.0,0.0,0.0,1737.124245097374,365.6016
LLAMA2-7B,H100,32,256,64,56.716,952.08,1014.9,0.0,0.0,0.0,2151.0797411982185,568.344
LLAMA2-7B,H100,32,256,128,57.381,1690.1,1754.1,0.0,0.0,0.0,2423.525235193184,982.296
LLAMA2-7B,H100,32,256,256,57.43,3227.9,3293.1,0.0,0.0,0.0,2537.872920474612,1844.136
LLAMA2-7B,H100,32,256,512,37.138,6628.3,6749.2,0.0,0.0,0.0,2471.8253549175506,3779.552
LLAMA2-7B,H100,32,256,1024,43.934,14779.0,14874.0,0.0,0.0,0.0,2217.200081196292,8329.44
LLAMA2-7B,H100,32,256,2048,57.116,36103.0,36206.0,0.0,0.0,0.0,1815.2508101819797,20275.36
LLAMA2-7B,H100,32,256,3584,57.023,83934.0,84029.0,0.0,0.0,0.0,1366.406938785236,47056.24
LLAMA2-7B,H100,32,512,32,69.647,869.95,945.76,0.0,0.0,0.0,1177.079142479453,529.6256
