model,system,batch,lin,lout,prefill_latency(ms),decode_latency(ms),e2e_latency(ms),comp_pct,comm_pct,queue_pct,decode_throughput(tok/s),total_energy(J)
LLAMA2-7B,H100,32,512,64,69.76,1283.5,1359.8,0.0,0.0,0.0,1595.6369302687965,761.488
LLAMA2-7B,H100,32,512,128,69.694,2104.8,2181.5,0.0,0.0,0.0,1946.0281261877608,1221.64
LLAMA2-7B,H100,32,512,256,69.467,3828.1,3905.5,0.0,0.0,0.0,2139.964995689768,2187.08
LLAMA2-7B,H100,32,512,512,71.527,7492.4,7574.1,0.0,0.0,0.0,2186.7492392290856,4241.496
LLAMA2-7B,H100,32,512,1024,70.563,16908.0,17051.0,0.0,0.0,0.0,1938.017506505796,9548.56
LLAMA2-7B,H100,32,512,2048,82.396,41084.0,41191.0,0.0,0.0,0.0,1595.170869438224,23066.96
LLAMA2-7B,H100,32,512,3584,82.963,84526.0,84661.0,0.0,0.0,0.0,1356.8369495776446,47410.16
LLAMA2-7B,H100,32,1024,32,84.051,1527.0,1701.1,0.0,0.0,0.0,670.595939751146,952.616
LLAMA2-7B,H100,32,1024,64,117.21,2020.1,2143.3,0.0,0.0,0.0,1013.811197465472,1200.248
LLAMA2-7B,H100,32,1024,128,117.47,3075.6,3199.6,0.0,0.0,0.0,1331.7726622447651,1791.776
LLAMA2-7B,H100,32,1024,256,116.5,5334.2,5458.2,0.0,0.0,0.0,1535.75044055341,3056.592
LLAMA2-7B,H100,32,1024,512,84.151,10220.0,10314.0,0.0,0.0,0.0,1603.1311154598825,5775.84
LLAMA2-7B,H100,32,1024,1024,116.04,21281.0,21411.0,0.0,0.0,0.0,1539.7772661059162,11990.16
LLAMA2-7B,H100,32,1024,2048,177.8,49988.0,50284.0,0.0,0.0,0.0,1311.0346483155956,28159.04
LLAMA2-7B,H100,32,2048,32,152.98,2838.8,2997.4,0.0,0.0,0.0,360.71579540650976,1678.544
LLAMA2-7B,H100,32,2048,64,150.64,3624.3,3780.7,0.0,0.0,0.0,565.0746351019507,2117.192
LLAMA2-7B,H100,32,2048,128,151.46,5188.3,5346.2,0.0,0.0,0.0,789.4686120694639,2993.872
LLAMA2-7B,H100,32,2048,256,220.07,8348.6,8595.8,0.0,0.0,0.0,981.2423639891718,4813.648
LLAMA2-7B,H100,32,2048,512,216.36,15209.0,15523.0,0.0,0.0,0.0,1077.2568873693208,8692.88
LLAMA2-7B,H100,32,2048,1024,152.45,30756.0,30923.0,0.0,0.0,0.0,1065.418129795812,17316.88
LLAMA2-7B,H100,32,2048,2048,409.66,68186.0,68696.0,0.0,0.0,0.0,961.1357170093568,38469.76
LLAMA2-7B,H100,32,3584,32,258.01,4963.7,5259.7,0.0,0.0,0.0,206.29772145778352,2945.432
LLAMA2-7B,H100,32,3584,64,563.62,5782.6,6388.0,0.0,0.0,0.0,354.16594611420464,3577.28
LLAMA2-7B,H100,32,3584,128,259.38,8495.5,8761.8,0.0,0.0,0.0,482.13760226002,4906.608
LLAMA2-7B,H100,32,3584,256,490.98,13098.0,13614.0,0.0,0.0,0.0,625.4389983203542,7623.84
LLAMA2-7B,H100,32,3584,512,259.12,22830.0,23160.0,0.0,0.0,0.0,717.6522120017521,12969.6
LLAMA2-7B,H100,32,4064,32,148.61,5750.9,5946.5,0.0,0.0,0.0,178.05908640386724,3330.04
LLAMA2-7B,H100,64,32,32,38.477,486.52,619.82,0.0,0.0,0.0,4209.487790841075,347.0992
LLAMA2-7B,H100,64,32,64,47.511,899.7,954.77,0.0,0.0,0.0,4552.628653995776,534.6712
LLAMA2-7B,H100,64,32,128,47.113,1756.7,1830.6,0.0,0.0,0.0,4663.289121648545,1025.136
LLAMA2-7B,H100,64,32,256,47.244,3583.4,3722.5,0.0,0.0,0.0,4572.194005692917,2084.6
LLAMA2-7B,H100,64,32,512,47.637,7810.2,7869.8,0.0,0.0,0.0,4195.539166730686,4407.088
LLAMA2-7B,H100,64,32,1024,49.84,16904.0,16970.0,0.0,0.0,0.0,3876.952200662565,9503.2
LLAMA2-7B,H100,64,32,2048,48.193,47380.0,47456.0,0.0,0.0,0.0,2766.39932460954,26575.36
LLAMA2-7B,H100,64,32,3584,48.817,133520.0,133660.0,0.0,0.0,0.0,1717.9149191132417,74849.6
LLAMA2-7B,H100,64,32,4064,39.255,159220.0,159390.0,0.0,0.0,0.0,1633.5636226604695,89258.4
LLAMA2-7B,H100,64,64,32,47.115,548.77,603.49,0.0,0.0,0.0,3731.982433442061,337.9544
LLAMA2-7B,H100,64,64,64,48.87,960.38,1057.5,0.0,0.0,0.0,4264.978446031779,592.2
LLAMA2-7B,H100,64,64,128,38.061,1881.4,1989.2,0.0,0.0,0.0,4354.204315934941,1113.952
LLAMA2-7B,H100,64,64,256,50.082,3758.0,3817.9,0.0,0.0,0.0,4359.765832889835,2138.024
LLAMA2-7B,H100,64,64,512,46.802,7856.2,7915.0,0.0,0.0,0.0,4170.973244062015,4432.4
LLAMA2-7B,H100,64,64,1024,47.415,18851.0,18917.0,0.0,0.0,0.0,3476.5264442204657,10593.52
LLAMA2-7B,H100,64,64,2048,47.342,51297.0,51372.0,0.0,0.0,0.0,2555.159171101624,28768.32
LLAMA2-7B,H100,64,64,3584,48.406,148400.0,148500.0,0.0,0.0,0.0,1545.660377358491,83160.0
LLAMA2-7B,H100,64,128,32,49.669,698.39,755.88,0.0,0.0,0.0,2932.458941279228,423.2928
LLAMA2-7B,H100,64,128,64,60.356,1140.8,1228.6,0.0,0.0,0.0,3590.4628330995797,688.016
LLAMA2-7B,H100,64,128,128,50.086,2049.1,2107.8,0.0,0.0,0.0,3997.852715826461,1180.368
LLAMA2-7B,H100,64,128,256,49.332,4059.3,4174.3,0.0,0.0,0.0,4036.163870618087,2337.608
LLAMA2-7B,H100,64,128,512,50.016,8605.6,8716.0,0.0,0.0,0.0,3807.7530910105047,4880.96
LLAMA2-7B,H100,64,128,1024,48.453,20681.0,20747.0,0.0,0.0,0.0,3168.8989894105703,11618.32
LLAMA2-7B,H100,64,128,2048,46.844,54793.0,54948.0,0.0,0.0,0.0,2392.13038161809,30770.88
LLAMA2-7B,H100,64,128,3584,45.972,136970.0,137130.0,0.0,0.0,0.0,1674.644082645835,76792.8
LLAMA2-7B,H100,64,256,32,61.107,972.79,1041.9,0.0,0.0,0.0,2105.284799391441,583.464
LLAMA2-7B,H100,64,256,64,61.156,1485.1,1554.5,0.0,0.0,0.0,2758.0634300720494,870.52
LLAMA2-7B,H100,64,256,128,60.177,2535.5,2629.6,0.0,0.0,0.0,3230.920922894893,1472.576
LLAMA2-7B,H100,64,256,256,39.699,4883.5,5014.3,0.0,0.0,0.0,3354.9708201085286,2808.008
LLAMA2-7B,H100,64,256,512,61.087,10152.0,10225.0,0.0,0.0,0.0,3227.738376674547,5726.0
LLAMA2-7B,H100,64,256,1024,46.834,23129.0,23273.0,0.0,0.0,0.0,2833.4990704310608,13032.88
LLAMA2-7B,H100,64,256,2048,62.178,57383.0,57474.0,0.0,0.0,0.0,2284.1608141784154,32185.44
LLAMA2-7B,H100,64,256,3584,62.234,154440.0,154550.0,0.0,0.0,0.0,1485.2110852110852,86548.0
LLAMA2-7B,H100,64,512,32,60.491,1667.4,1741.7,0.0,0.0,0.0,1228.259565791052,975.352
LLAMA2-7B,H100,64,512,64,59.085,2321.9,2433.6,0.0,0.0,0.0,1764.07252680994,1362.816
LLAMA2-7B,H100,64,512,128,61.596,3591.9,3744.8,0.0,0.0,0.0,2280.687101534007,2097.088
LLAMA2-7B,H100,64,512,256,39.659,6398.8,6517.1,0.0,0.0,0.0,2560.480090016878,3649.576
LLAMA2-7B,H100,64,512,512,75.683,12130.0,12217.0,0.0,0.0,0.0,2701.401483924155,6841.52
LLAMA2-7B,H100,64,512,1024,58.504,26054.0,26197.0,0.0,0.0,0.0,2515.391110769939,14670.32
LLAMA2-7B,H100,64,512,2048,75.601,68771.0,68903.0,0.0,0.0,0.0,1905.9196463625656,38585.68
LLAMA2-7B,H100,64,512,3584,88.537,175930.0,176120.0,0.0,0.0,0.0,1303.7912806229751,98627.2
LLAMA2-7B,H100,64,1024,32,123.55,2954.4,3084.6,0.0,0.0,0.0,693.2033577037638,1727.376
LLAMA2-7B,H100,64,1024,64,88.54,3890.7,4061.4,0.0,0.0,0.0,1052.766854293572,2274.384
LLAMA2-7B,H100,64,1024,128,153.45,5572.9,5780.2,0.0,0.0,0.0,1469.9707513143965,3236.912
LLAMA2-7B,H100,64,1024,256,88.083,9406.4,9537.3,0.0,0.0,0.0,1741.792821908488,5340.888
LLAMA2-7B,H100,64,1024,512,89.069,17692.0,17870.0,0.0,0.0,0.0,1852.1365588966764,10007.2
LLAMA2-7B,H100,64,1024,1024,127.73,37599.0,37744.0,0.0,0.0,0.0,1743.0250804542677,21136.64
LLAMA2-7B,H100,64,1024,2048,123.24,91439.0,91658.0,0.0,0.0,0.0,1433.4364986493729,51328.48
LLAMA2-7B,H100,64,2048,32,159.0,5834.9,6001.1,0.0,0.0,0.0,350.9914480111056,3360.616
LLAMA2-7B,H100,64,2048,64,160.97,7218.7,7402.4,0.0,0.0,0.0,567.4151855597269,4145.344
LLAMA2-7B,H100,64,2048,128,153.68,9960.2,10160.0,0.0,0.0,0.0,822.4734443083472,5689.6
LLAMA2-7B,H100,64,2048,256,160.84,17178.0,17366.0,0.0,0.0,0.0,953.7780882524158,9724.96
LLAMA2-7B,H100,64,2048,512,231.27,32009.0,32350.0,0.0,0.0,0.0,1023.7120809772252,18116.0
LLAMA2-7B,H100,64,2048,1024,229.78,64983.0,65293.0,0.0,0.0,0.0,1008.5099179785484,36564.08
LLAMA2-7B,H100,64,2048,2048,289.78,138510.0,138870.0,0.0,0.0,0.0,946.2999061439608,77767.2
LLAMA2-7B,H100,64,3584,32,268.29,10268.0,10544.0,0.0,0.0,0.0,199.45461628359956,5904.64
LLAMA2-7B,H100,64,3584,64,272.21,12640.0,12921.0,0.0,0.0,0.0,324.0506329113924,7235.76
LLAMA2-7B,H100,64,3584,128,275.13,17632.0,17917.0,0.0,0.0,0.0,464.6098003629764,10033.52
LLAMA2-7B,H100,64,3584,256,144.19,27725.0,27948.0,0.0,0.0,0.0,590.9467989179441,15650.88
LLAMA2-7B,H100,64,3584,512,272.64,48838.0,49149.0,0.0,0.0,0.0,670.9529464761047,27523.44
LLAMA2-7B,H100,64,4064,32,313.2,11691.0,12012.0,0.0,0.0,0.0,175.17748695577794,6726.72
LLAMA2-7B,H100,128,32,32,52.255,753.54,816.74,0.0,0.0,0.0,5435.6769381851,457.3744
LLAMA2-7B,H100,128,32,64,49.921,1392.7,1537.5,0.0,0.0,0.0,5882.099518920083,861.0
LLAMA2-7B,H100,128,32,128,51.074,2666.6,2772.8,0.0,0.0,0.0,6144.153603840096,1552.768
LLAMA2-7B,H100,128,32,256,51.903,5540.8,5605.4,0.0,0.0,0.0,5913.947444412359,3139.024
LLAMA2-7B,H100,128,32,512,52.048,12284.0,12353.0,0.0,0.0,0.0,5335.070009768805,6917.68
LLAMA2-7B,H100,128,32,1024,51.419,29773.0,29847.0,0.0,0.0,0.0,4402.3779934840295,16714.32
LLAMA2-7B,H100,128,32,2048,52.246,91625.0,91750.0,0.0,0.0,0.0,2861.0532060027285,51380.0
LLAMA2-7B,H100,128,32,3584,53.078,232810.0,232930.0,0.0,0.0,0.0,1970.4995489884452,130440.8
LLAMA2-7B,H100,128,32,4064,49.833,306620.0,306760.0,0.0,0.0,0.0,1696.5364294566564,171785.6
LLAMA2-7B,H100,128,64,32,51.936,884.02,947.14,0.0,0.0,0.0,4633.379335309156,530.3984
LLAMA2-7B,H100,128,64,64,50.54,1500.3,1562.4,0.0,0.0,0.0,5460.241285076319,874.944
LLAMA2-7B,H100,128,64,128,42.48,2902.5,3019.4,0.0,0.0,0.0,5644.788975021534,1690.864
LLAMA2-7B,H100,128,64,256,50.203,5814.6,5878.4,0.0,0.0,0.0,5635.4693358098575,3291.904
LLAMA2-7B,H100,128,64,512,50.719,13015.0,13164.0,0.0,0.0,0.0,5035.42066845947,7371.84
LLAMA2-7B,H100,128,64,1024,50.04,32118.0,32211.0,0.0,0.0,0.0,4080.951491375553,18038.16
LLAMA2-7B,H100,128,64,2048,52.111,97745.0,97829.0,0.0,0.0,0.0,2681.917233618088,54784.24
LLAMA2-7B,H100,128,64,3584,52.908,260120.0,260250.0,0.0,0.0,0.0,1763.616792249731,145740.0
LLAMA2-7B,H100,128,128,32,51.053,1191.5,1261.6,0.0,0.0,0.0,3437.6835921107845,706.496
LLAMA2-7B,H100,128,128,64,45.492,1890.4,2019.9,0.0,0.0,0.0,4333.4743969530255,1131.144
LLAMA2-7B,H100,128,128,128,50.546,3336.0,3403.4,0.0,0.0,0.0,4911.27098321343,1905.904
LLAMA2-7B,H100,128,128,256,64.673,6521.9,6641.5,0.0,0.0,0.0,5024.3027338658985,3719.24
LLAMA2-7B,H100,128,128,512,53.416,14252.0,14323.0,0.0,0.0,0.0,4598.372158293573,8020.88
LLAMA2-7B,H100,128,128,1024,54.284,34494.0,34573.0,0.0,0.0,0.0,3799.8492491447782,19360.88
LLAMA2-7B,H100,128,128,2048,52.601,108130.0,108260.0,0.0,0.0,0.0,2424.341070933136,60625.6
LLAMA2-7B,H100,128,128,3584,66.241,283870.0,284070.0,0.0,0.0,0.0,1616.0636911262195,159079.2
LLAMA2-7B,H100,128,256,32,64.678,1808.1,1881.7,0.0,0.0,0.0,2265.3614291244958,1053.752
LLAMA2-7B,H100,128,256,64,63.941,2633.6,2706.9,0.0,0.0,0.0,3110.5710814094778,1515.864
LLAMA2-7B,H100,128,256,128,44.029,4271.3,4388.1,0.0,0.0,0.0,3835.834523447194,2457.336
LLAMA2-7B,H100,128,256,256,63.898,7809.5,7893.1,0.0,0.0,0.0,4195.9152314488765,4420.136
LLAMA2-7B,H100,128,256,512,51.251,16443.0,16577.0,0.0,0.0,0.0,3985.647387946239,9283.12
LLAMA2-7B,H100,128,256,1024,65.026,39497.0,39579.0,0.0,0.0,0.0,3318.530521305416,22164.24
LLAMA2-7B,H100,128,256,2048,45.741,117760.0,117910.0,0.0,0.0,0.0,2226.086956521739,66029.6
LLAMA2-7B,H100,128,256,3584,51.67,309530.0,309720.0,0.0,0.0,0.0,1482.09220430976,173443.2
LLAMA2-7B,H100,128,512,32,78.998,3235.6,3369.3,0.0,0.0,0.0,1265.916676968723,1886.808
LLAMA2-7B,H100,128,512,64,46.873,4305.7,4435.3,0.0,0.0,0.0,1902.5942355482268,2483.768
LLAMA2-7B,H100,128,512,128,64.115,6493.1,6604.1,0.0,0.0,0.0,2523.2939582017834,3698.296
LLAMA2-7B,H100,128,512,256,63.649,11236.0,11383.0,0.0,0.0,0.0,2916.3403346386613,6374.48
LLAMA2-7B,H100,128,512,512,81.152,21463.0,21558.0,0.0,0.0,0.0,3053.4408051064624,12072.48
LLAMA2-7B,H100,128,512,1024,81.131,52897.0,52998.0,0.0,0.0,0.0,2477.872091044861,29678.88
LLAMA2-7B,H100,128,512,2048,80.1,144060.0,144270.0,0.0,0.0,0.0,1819.6862418436765,80791.2
LLAMA2-7B,H100,128,512,3584,66.195,357660.0,357870.0,0.0,0.0,0.0,1282.648325225074,200407.2
LLAMA2-7B,H100,128,1024,32,165.69,6018.2,6244.9,0.0,0.0,0.0,680.6021734073311,3497.144
LLAMA2-7B,H100,128,1024,64,133.7,7612.7,7754.9,0.0,0.0,0.0,1076.096522915654,4342.744
LLAMA2-7B,H100,128,1024,128,132.4,11639.0,11781.0,0.0,0.0,0.0,1407.6810722570667,6597.36
LLAMA2-7B,H100,128,1024,256,134.34,19852.0,19998.0,0.0,0.0,0.0,1650.6145476526294,11198.88
LLAMA2-7B,H100,128,1024,512,131.26,37766.0,37913.0,0.0,0.0,0.0,1735.3174813324154,21231.28
LLAMA2-7B,H100,128,1024,1024,133.26,76895.0,77118.0,0.0,0.0,0.0,1704.5581637297614,43186.08
LLAMA2-7B,H100,128,1024,2048,133.9,189530.0,189780.0,0.0,0.0,0.0,1383.1266817918008,106276.8
LLAMA2-7B,H100,128,2048,32,174.81,12083.0,12290.0,0.0,0.0,0.0,338.9886617561864,6882.4
LLAMA2-7B,H100,128,2048,64,178.25,14918.0,15198.0,0.0,0.0,0.0,549.1352728247755,8510.88
LLAMA2-7B,H100,128,2048,128,241.89,20629.0,20906.0,0.0,0.0,0.0,794.2217266954287,11707.36
LLAMA2-7B,H100,128,2048,256,176.65,33528.0,33731.0,0.0,0.0,0.0,977.332378907182,18889.36
LLAMA2-7B,H100,128,2048,512,238.14,62612.0,62873.0,0.0,0.0,0.0,1046.700313039034,35208.88
LLAMA2-7B,H100,128,2048,1024,175.46,127260.0,127480.0,0.0,0.0,0.0,1029.95442401383,71388.8
LLAMA2-7B,H100,128,2048,2048,174.04,284060.0,284300.0,0.0,0.0,0.0,922.8472857846932,159208.0
LLAMA2-7B,H100,128,3584,32,412.58,21369.0,21794.0,0.0,0.0,0.0,191.67953577612428,12204.64
LLAMA2-7B,H100,128,3584,64,291.88,26487.0,26793.0,0.0,0.0,0.0,309.2837995998037,15004.08
LLAMA2-7B,H100,128,3584,128,283.64,36379.0,36730.0,0.0,0.0,0.0,450.3697187938096,20568.8
LLAMA2-7B,H100,128,3584,256,405.7,56674.0,57102.0,0.0,0.0,0.0,578.1839997176836,31977.12
LLAMA2-7B,H100,128,3584,512,282.66,99940.0,100270.0,0.0,0.0,0.0,655.7534520712427,56151.2
LLAMA2-7B,H100,128,4064,32,321.4,24211.0,24639.0,0.0,0.0,0.0,169.17929866589566,13797.84
MISTRAL-7B,H100,1,32,32,37.564,250.13,329.32,0.0,0.0,0.0,127.93347459321151,184.4192
MISTRAL-7B,H100,1,32,64,34.227,514.49,553.68,0.0,0.0,0.0,124.39503197341055,310.0608
MISTRAL-7B,H100,1,32,128,54.301,1682.7,1744.9,0.0,0.0,0.0,76.06822368812028,977.144
MISTRAL-7B,H100,1,32,256,74.251,4704.6,4857.8,0.0,0.0,0.0,54.41482804064107,2720.368
MISTRAL-7B,H100,1,32,512,74.726,9602.8,9739.5,0.0,0.0,0.0,53.317782313491904,5454.12
MISTRAL-7B,H100,1,32,1024,53.515,8225.6,8291.1,0.0,0.0,0.0,124.48939894962068,4643.016
MISTRAL-7B,H100,1,32,2048,34.289,16463.0,16535.0,0.0,0.0,0.0,124.40017007835752,9259.6
MISTRAL-7B,H100,1,32,3584,37.679,28797.0,28863.0,0.0,0.0,0.0,124.45740875785673,16163.28
MISTRAL-7B,H100,1,32,4064,37.509,32728.0,32797.0,0.0,0.0,0.0,124.17501833292592,18366.32
MISTRAL-7B,H100,1,64,32,74.342,569.21,701.22,0.0,0.0,0.0,56.218267423270845,392.6832
MISTRAL-7B,H100,1,64,64,54.415,1089.7,1151.5,0.0,0.0,0.0,58.73176103514729,644.84
MISTRAL-7B,H100,1,64,128,55.227,2357.1,2421.8,0.0,0.0,0.0,54.30401764880574,1356.208
MISTRAL-7B,H100,1,64,256,36.322,2034.2,2077.1,0.0,0.0,0.0,125.84799921345,1163.176
MISTRAL-7B,H100,1,64,512,34.212,4127.6,4169.0,0.0,0.0,0.0,124.04302742513808,2334.64
MISTRAL-7B,H100,1,64,1024,74.342,8438.5,8555.4,0.0,0.0,0.0,121.3485809089293,4791.024
MISTRAL-7B,H100,1,64,2048,34.596,16654.0,16708.0,0.0,0.0,0.0,122.9734598294704,9356.48
MISTRAL-7B,H100,1,64,3584,37.764,28835.0,28977.0,0.0,0.0,0.0,124.29339344546558,16227.12
MISTRAL-7B,H100,1,128,32,74.361,566.12,688.38,0.0,0.0,0.0,56.52511834946655,385.4928
MISTRAL-7B,H100,1,128,64,54.84,834.84,896.91,0.0,0.0,0.0,76.66139619567821,502.2696
MISTRAL-7B,H100,1,128,128,34.594,2345.1,2409.6,0.0,0.0,0.0,54.58189416229585,1349.376
MISTRAL-7B,H100,1,128,256,34.538,4644.4,4708.3,0.0,0.0,0.0,55.12014469037982,2636.648
MISTRAL-7B,H100,1,128,512,44.291,5627.1,5682.6,0.0,0.0,0.0,90.98825327433312,3182.256
MISTRAL-7B,H100,1,128,1024,34.922,8165.9,8211.7,0.0,0.0,0.0,125.3995273025631,4598.552
MISTRAL-7B,H100,1,128,2048,46.999,17866.0,17936.0,0.0,0.0,0.0,114.63114295309526,10044.16
MISTRAL-7B,H100,1,256,32,35.051,534.36,606.97,0.0,0.0,0.0,59.88472191032263,339.9032
MISTRAL-7B,H100,1,256,64,75.048,1163.4,1293.3,0.0,0.0,0.0,55.01117414474815,724.248
MISTRAL-7B,H100,1,256,128,36.495,1024.6,1066.8,0.0,0.0,0.0,124.92680070271328,597.408
MISTRAL-7B,H100,1,256,256,54.755,4565.1,4630.1,0.0,0.0,0.0,56.07763247245405,2592.856
MISTRAL-7B,H100,1,256,512,37.802,9300.7,9401.7,0.0,0.0,0.0,55.0496199210812,5264.952
MISTRAL-7B,H100,1,256,1024,74.579,18832.0,19015.0,0.0,0.0,0.0,54.37553101104503,10648.4
MISTRAL-7B,H100,1,256,2048,36.047,37546.0,37697.0,0.0,0.0,0.0,54.54642305438662,21110.32
MISTRAL-7B,H100,1,256,3584,38.038,28789.0,28858.0,0.0,0.0,0.0,124.49199346972802,16160.48
MISTRAL-7B,H100,1,512,32,245.81,579.84,867.79,0.0,0.0,0.0,55.18763796909492,485.9624
MISTRAL-7B,H100,1,512,64,33.521,511.88,549.65,0.0,0.0,0.0,125.0293037430648,307.804
MISTRAL-7B,H100,1,512,128,33.575,1020.3,1077.3,0.0,0.0,0.0,125.45329804959326,603.288
MISTRAL-7B,H100,1,512,256,34.791,2034.7,2076.1,0.0,0.0,0.0,125.81707377008895,1162.616
MISTRAL-7B,H100,1,512,512,52.159,9191.8,9258.4,0.0,0.0,0.0,55.70182118845058,5184.704
MISTRAL-7B,H100,1,512,1024,33.374,18694.0,18778.0,0.0,0.0,0.0,54.77693377554296,10515.68
MISTRAL-7B,H100,1,512,2048,71.716,37736.0,37890.0,0.0,0.0,0.0,54.271782912868346,21218.4
MISTRAL-7B,H100,1,512,3584,186.79,28895.0,29165.0,0.0,0.0,0.0,124.0353002249524,16332.4
MISTRAL-7B,H100,1,1024,32,237.73,308.08,624.41,0.0,0.0,0.0,103.8691249026227,349.6696
MISTRAL-7B,H100,1,1024,64,46.617,516.24,567.02,0.0,0.0,0.0,123.9733457306679,317.5312
MISTRAL-7B,H100,1,1024,128,74.629,1697.7,1779.3,0.0,0.0,0.0,75.39612416799199,996.408
MISTRAL-7B,H100,1,1024,256,102.03,4716.2,4877.7,0.0,0.0,0.0,54.28098893176711,2731.512
MISTRAL-7B,H100,1,1024,512,52.878,8940.1,9007.2,0.0,0.0,0.0,57.2700529076856,5044.032
MISTRAL-7B,H100,1,1024,1024,107.96,19919.0,20138.0,0.0,0.0,0.0,51.40820322305336,11277.28
MISTRAL-7B,H100,1,1024,2048,46.557,37878.0,37983.0,0.0,0.0,0.0,54.06832462115212,21270.48
MISTRAL-7B,H100,1,2048,32,82.904,417.86,548.99,0.0,0.0,0.0,76.58067295266356,307.43440000000004
MISTRAL-7B,H100,1,2048,64,76.432,1157.7,1240.4,0.0,0.0,0.0,55.28202470415479,694.624
MISTRAL-7B,H100,1,2048,128,76.969,1031.1,1134.3,0.0,0.0,0.0,124.13926874212008,635.208
MISTRAL-7B,H100,1,2048,256,78.23,2045.9,2212.2,0.0,0.0,0.0,125.12830539127036,1238.832
MISTRAL-7B,H100,1,2048,512,82.425,9308.6,9409.1,0.0,0.0,0.0,55.00290054358335,5269.096
MISTRAL-7B,H100,1,2048,1024,77.998,18696.0,18796.0,0.0,0.0,0.0,54.77107402652974,10525.76
MISTRAL-7B,H100,1,2048,2048,81.348,37927.0,38049.0,0.0,0.0,0.0,53.99847074643394,21307.44
MISTRAL-7B,H100,2,32,32,44.338,255.18,388.63,0.0,0.0,0.0,250.8033544948664,217.6328
MISTRAL-7B,H100,2,32,64,43.989,515.86,564.22,0.0,0.0,0.0,248.12933741712868,315.96320000000003
MISTRAL-7B,H100,2,32,128,49.096,1037.6,1091.5,0.0,0.0,0.0,246.72320740169624,611.24
MISTRAL-7B,H100,2,32,256,46.248,2084.1,2197.7,0.0,0.0,0.0,245.66959358955904,1230.712
MISTRAL-7B,H100,2,32,512,48.448,4214.8,4270.9,0.0,0.0,0.0,242.95340229666888,2391.704
MISTRAL-7B,H100,2,32,1024,46.87,8293.7,8442.8,0.0,0.0,0.0,246.9344201020051,4727.968
MISTRAL-7B,H100,2,32,2048,46.486,16718.0,16852.0,0.0,0.0,0.0,245.0053834190693,9437.12
MISTRAL-7B,H100,2,64,32,49.676,249.72,303.45,0.0,0.0,0.0,256.28704148646483,169.932
MISTRAL-7B,H100,2,64,64,46.946,518.32,569.82,0.0,0.0,0.0,246.95169007562893,319.0992
